label	organism	pathotype	virulence_basis	pmid	gcf_accession	fasta_path	status
O21_HC002	Escherichia coli O21:NM str. HC002	EHEC	stx2,LEE,eae	21569098	ENTREZ_RESOLVED	FAILED	FAILED
K12_MG1655	Escherichia coli K-12 str. MG1655	K12	no_virulence_genes,lambda_minus	9278503	GCF_000005845.2	/Users/user/bioinformatics/data/genomes/K12_MG1655/K12_MG1655.fna	OK
K12_W3110	Escherichia coli str. K-12 substr. W3110	K12	no_virulence_genes,F-minus,lacI	16738553	GCF_000010245.2	/Users/user/bioinformatics/data/genomes/K12_W3110/K12_W3110.fna	OK
K12_DH10B	Escherichia coli str. K-12 substr. DH10B	K12	no_virulence_genes,endA1,recA1	18245128	GCF_000019425.1	/Users/user/bioinformatics/data/genomes/K12_DH10B/K12_DH10B.fna	OK
K12_MDS42	Escherichia coli str. K-12 substr. MDS42	K12	no_virulence_genes,IS-free,genome-reduced	24722555	GCF_008248145.1	/Users/user/bioinformatics/data/genomes/K12_MDS42/K12_MDS42.fna	OK
K12_BW2952	Escherichia coli BW2952	K12	no_virulence_genes	18974106	GCF_000022345.1	/Users/user/bioinformatics/data/genomes/K12_BW2952/K12_BW2952.fna	OK
BL21	Escherichia coli BL21	LAB_B	no_virulence_genes,lon_minus,ompT_minus,non_DE3	19765975	GCF_042189615.1	/Users/user/bioinformatics/data/genomes/BL21/BL21.fna	OK
B_REL606	Escherichia coli B str. REL606	LAB_B	no_virulence_genes,LTEE_ancestor	19820699	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/B_REL606/B_REL606.fna	OK
BL21_DE3	Escherichia coli BL21(DE3)	LAB_B	no_virulence_genes,lon_minus,ompT_minus	19765975	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/BL21_DE3/BL21_DE3.fna	OK
Nissle1917	Escherichia coli Nissle 1917	PROBIOTIC	microcin_B17,H_47_fimbriae,no_stx_no_LEE	25448246	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/Nissle1917/Nissle1917.fna	OK
HS	Escherichia coli str. HS	COMMENSAL	no_virulence_islands,healthy_volunteer	19165319	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/HS/HS.fna	OK
IAI1	Escherichia coli str. IAI1	COMMENSAL	no_virulence_islands,phylogroup_A	19165319	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/IAI1/IAI1.fna	OK
ED1a	Escherichia coli str. ED1a	COMMENSAL	no_virulence_islands,phylogroup_B1	19165319	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/ED1a/ED1a.fna	OK
SE15	Escherichia coli str. SE15	COMMENSAL	no_stx,no_LEE,phylogroup_B2	19165319	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/SE15/SE15.fna	OK
ABU83972	Escherichia coli str. ABU 83972	COMMENSAL	reductive_evolution,loss_of_virulence_genes	20507614	GCF_000148365.1	/Users/user/bioinformatics/data/genomes/ABU83972/ABU83972.fna	OK
ATCC25922	Escherichia coli ATCC 25922	COMMENSAL	no_stx,no_LEE,antimicrobial_QC_reference	22168424	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/ATCC25922/ATCC25922.fna	OK
W	Escherichia coli str. W	LAB_B	no_virulence_genes,industrial_fermentation	21278278	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/W/W.fna	OK
K12_C2566	Escherichia coli K-12 str. C2566	K12	no_virulence_genes,recA_minus	18245128	ENTREZ_RESOLVED	FAILED	FAILED
ATCC8739	Escherichia coli ATCC 8739	COMMENSAL	ATCC_type_strain,no_virulence	20830437	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/ATCC8739/ATCC8739.fna	OK
ATCC11775	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	COMMENSAL	type_strain,no_virulence_genes,commensal_origin	0	GCF_003697165.2	/Users/user/bioinformatics/data/genomes/ATCC11775/ATCC11775.fna	OK
K12_XL1Blue	Escherichia coli K-12 str. XL1-Blue	K12	no_virulence_genes,recA1_minus,endA1_minus	0	ENTREZ_RESOLVED	FAILED	FAILED
K12_DH5alpha	Escherichia coli K-12 str. DH5alpha	K12	no_virulence_genes,phi80_lacZdeltaM15	0	ENTREZ_RESOLVED	FAILED	FAILED
K12_HB101	Escherichia coli K-12 str. HB101	K12	no_virulence_genes,K-12_B_hybrid,recA13	0	ENTREZ_RESOLVED	FAILED	FAILED
K12_MG1655_LTEE	Escherichia coli K-12 str. MG1655 evolved	K12	no_virulence_genes,LTEE_related	0	ENTREZ_RESOLVED	FAILED	FAILED
ECOR2	Escherichia coli str. ECOR 2	COMMENSAL	ECOR_collection,healthy_human	20007904	ENTREZ_RESOLVED	FAILED	FAILED
ECOR3	Escherichia coli str. ECOR 3	COMMENSAL	ECOR_collection,healthy_human	20007904	ENTREZ_RESOLVED	FAILED	FAILED
ECOR5	Escherichia coli str. ECOR 5	COMMENSAL	ECOR_collection,healthy_human	20007904	ENTREZ_RESOLVED	FAILED	FAILED
ECOR10	Escherichia coli str. ECOR 10	COMMENSAL	ECOR_collection,healthy_human	20007904	ENTREZ_RESOLVED	FAILED	FAILED
ECOR15	Escherichia coli str. ECOR 15	COMMENSAL	ECOR_collection,healthy_human	20007904	ENTREZ_RESOLVED	FAILED	FAILED
SMS_3_5	Escherichia coli SMS-3-5	COMMENSAL	environmental_soil,no_virulence_islands	17965192	GCF_000019645.1	/Users/user/bioinformatics/data/genomes/SMS_3_5/SMS_3_5.fna	OK
B_ATCC9637	Escherichia coli B str. ATCC 9637	LAB_B	no_virulence_genes,B_lineage	20840077	ENTREZ_RESOLVED	FAILED	FAILED
